Enclosure,Nr 52.2 Locus,Nr 52.2,Nr 52.4 Locus,Nr 52.4,Nr 52.7 Locus,Nr 52.7,Nr 52.11 Locus,Nr 52.11,Nr 60.2 Locus,Nr 60.2,Nr 60.5 Locus,Nr 60.5,Nr 60.11 Locus,Nr 60.11,Nr 60.34 Locus,Nr 60.34
41A_n,314,318,250,270,254,262,368,370,331,339,212,238,431,439,234,234
41A_n,302,304,260,260,258,278,404,406,329,343,208,228,431,459,226,228
41A_n,304,306,240,258,258,262,396,398,331,351,226,232,423,433,240,248
41A_n,296,310,258,262,262,262,398,404,331,347,224,230,417,431,240,268
41A_n,302,308,242,258,258,278,368,412,329,351,212,230,417,429,300,302
41A_n,302,320,254,262,254,278,368,386,339,353,208,218,431,451,266,290
41A_n,300,308,258,260,258,258,404,404,331,339,226,226,427,449,230,230
41A_n,304,308,250,260,262,266,408,408,339,343,212,224,435,439,236,236
41A_n,286,288,220,238,254,258,376,378,351,351,226,232,433,449,240,240
41A_n,280,298,240,258,272,282,320,324,333,357,224,226,425,429,228,236
41A_w,306,308,224,236,278,282,406,408,339,339,226,226,423,433,284,286
41A_w,284,300,244,258,270,286,386,408,347,373,210,226,429,449,284,294
41A_w,300,308,260,262,270,272,392,398,329,353,212,226,435,437,228,228
41A_w,308,320,252,262,278,286,386,400,335,339,218,224,429,429,250,292
41A_w,272,316,234,248,254,258,386,404,339,339,208,220,419,423,226,238
41A_w,300,320,240,252,262,262,386,396,335,353,218,236,417,447,228,228
41A_w,290,298,258,268,258,266,396,396,359,373,232,232,429,429,236,260
41A_w,298,298,258,262,250,262,394,398,339,353,216,216,429,437,240,240
41A_w,296,308,254,256,258,266,398,436,333,353,228,234,429,457,234,234
41A_w,300,306,244,262,270,278,400,408,329,333,224,226,435,439,228,228
41A_w,272,294,238,250,262,270,384,388,335,351,214,232,429,441,220,236
41A_w,306,316,246,248,254,262,388,388,329,329,210,226,433,443,250,252
43A_e,288,292,248,252,250,262,374,404,343,343,222,230,425,455,232,232
43A_e,292,306,244,250,254,266,392,400,327,339,208,214,423,429,230,230
