Ri,Enclosure,Nr 52.2,Nr 52.4,Nr 52.7,Nr 52.11,Nr 60.2,Nr 60.5,Nr 60.11,Nr 60.34,Years Since,Fires
R1,41A_n,45,31,17,30,19,19,18,17,7,3
R2,41A_n,38,26,25,48,21,14,28,14,7,3
R3,41A_n,39,25,17,44,25,16,15,24,7,3
R4,41A_n,41,27,17,47,23,15,14,34,7,3
R5,41A_n,40,25,25,51,25,15,13,51,7,3
R6,41A_n,46,27,25,38,26,9,24,45,7,3
R7,41A_n,40,26,15,47,19,13,23,15,7,3
R8,41A_n,40,26,19,49,21,12,18,18,7,3
R9,41A_n,30,15,15,34,25,16,23,20,7,3
R10,41A_n,35,25,27,7,28,13,13,18,7,3
R11,41A_w,40,14,27,49,19,13,15,43,7,3
R12,41A_w,36,25,29,49,36,13,23,47,7,3
R13,41A_w,40,27,22,44,26,13,17,14,7,3
R14,41A_w,46,27,29,45,19,12,13,46,7,3
R15,41A_w,44,20,15,47,19,10,10,19,7,3
R16,41A_w,46,22,17,43,26,18,22,14,7,3
R17,41A_w,35,30,19,43,36,16,13,30,7,3
R18,41A_w,35,27,17,44,26,8,17,20,7,3
R19,41A_w,40,24,19,63,26,17,27,17,7,3
R20,41A_w,39,27,25,49,16,13,18,14,7,3
R21,41A_w,33,21,21,39,25,16,19,18,7,3
R22,41A_w,44,20,17,39,14,13,20,26,7,3
R23,43A_e,32,22,17,47,21,15,26,16,10,3
R24,43A_e,39,21,19,45,19,7,13,15,10,3
R25,43A_e,42,22,19,45,26,21,17,17,10,3
R26,43A_e,34,26,23,45,21,4,15,20,10,3
R27,43A_e,40,27,23,44,21,14,17,20,10,3
R28,43A_e,32,23,23,44,29,14,10,20,10,3
R29,43A_e,38,28,23,42,21,10,9,42,10,3
R30,43A_e,38,19,21,44,19,27,26,24,10,3
R31,43A_e,27,22,15,48,15,5,14,21,10,3
R32,43A_e,41,19,19,44,25,10,13,40,10,3
R33,43A_e,40,23,13,50,22,14,10,16,10,3
R34,43A_e,40,27,23,43,21,18,15,20,10,3
R35,43A_e,36,23,13,44,17,18,18,20,10,3
R36,43A_e,39,27,19,44,19,13,18,16,10,3
R37,43A_e,40,23,23,44,19,14,13,20,10,3
R38,43A_n,38,27,15,44,19,16,25,17,10,3
R39,43A_n,38,14,15,47,16,10,22,14,10,3
R40,43A_n,38,27,27,38,24,19,5,17,10,3
R41,43A_n,38,30,17,43,21,14,17,20,10,3
R42,43A_n,40,27,15,44,19,16,14,17,10,3
R43,43A_n,40,27,24,45,16,18,15,23,10,3
R44,44_e,40,22,19,42,33,19,14,14,20,1
R45,44_e,27,27,17,44,15,14,13,10,20,1
R46,44_e,27,18,17,43,23,18,10,23,20,1
R47,44_e,43,27,29,41,19,12,24,32,20,1
R48,44_e,39,27,19,50,25,10,14,14,20,1
R49,44_e,39,25,23,42,30,19,18,23,20,1
R50,44_e,36,26,21,49,28,31,24,10,20,1
R51,44_e,40,27,25,38,28,13,24,11,20,1
R52,44_e,38,24,21,37,28,13,14,18,20,1
R53,44_e,45,25,29,49,16,15,22,10,20,1
R54,44_e,43,21,17,34,18,12,14,23,20,1
R55,44_e,43,21,19,29,22,12,14,12,20,1
R56,44_e,44,27,21,38,16,13,15,23,20,1
R57,44_e,33,26,15,43,20,17,11,34,20,1
R58,44_e,39,21,17,44,22,12,14,23,20,1
R59,44_e,39,27,19,29,22,12,14,12,20,1
R60,44_e,44,27,19,49,38,25,12,62,20,1
R61,44_e,39,21,17,49,35,17,14,60,20,1
R62,44_e,36,25,21,49,28,13,22,13,20,1
R63,44_e,40,20,29,42,27,18,24,10,20,1
R64,44_e,20,27,19,42,32,16,14,23,20,1
R65,44_e,38,26,17,48,27,13,11,23,20,1
R66,44_e,40,27,19,29,32,23,14,59,20,1
R67,44_e,37,26,17,49,26,23,18,10,20,1
R68,44_e,40,25,25,51,30,18,13,23,20,1
R69,44_e,38,21,15,48,23,12,9,15,20,1
R70,44_e,34,19,25,39,17,13,14,11,20,1
R71,44_e,39,24,29,68,18,10,22,11,20,1
R72,44_e,36,25,17,50,25,17,23,61,20,1
R73,44_e,46,23,23,46,18,15,13,29,20,1
R74,44_e,47,25,23,42,30,16,12,23,20,1
R75,44_e,44,27,25,38,28,14,12,23,20,1
R76,44_e,43,19,10,45,22,12,12,25,20,1
R77,44_e,40,31,21,42,33,15,15,23,20,1
R78,44_e,44,26,19,42,22,17,24,23,20,1
R79,44_e,40,26,21,37,27,16,12,23,20,1
R80,44_e,40,21,29,61,30,16,22,11,20,1
R81,44_e,25,27,22,39,19,16,15,17,20,1
R82,44_e,39,25,29,50,30,15,14,11,20,1
R83,44_e,44,27,19,29,15,12,14,12,20,1
R84,44_n,44,22,19,44,26,12,15,27,20,1
R85,44_n,45,18,17,49,25,12,18,17,20,1
R86,44_n,39,25,19,41,30,6,14,24,20,1
R87,44_n,40,21,19,29,26,15,14,56,20,1
R88,44_n,40,25,19,41,25,14,16,17,20,1
R89,44_n,37,27,29,41,22,18,20,27,20,1
R90,44_n,43,26,29,40,15,12,15,5,20,1
R91,44_n,48,20,25,47,22,14,13,26,20,1
R92,44_n,44,20,29,32,22,13,13,22,20,1
R93,44_n,20,27,25,41,33,12,21,27,20,1
R94,44_n,48,20,29,44,18,17,20,22,20,1
R95,44_n,37,27,29,41,22,18,19,22,20,1
R96,44_n,40,26,17,52,30,17,25,11,20,1
R97,44_n,37,27,19,30,19,15,25,67,20,1
R98,44_n,42,24,17,41,26,5,11,15,20,1
R99,44_n,41,27,17,57,19,17,15,27,20,1
R100,44_n,46,25,19,34,28,14,15,27,20,1
R101,44_n,40,29,17,53,30,14,14,70,20,1
R102,44_n,42,27,17,82,25,18,10,27,20,1
R103,44_n,45,21,23,44,16,19,8,25,20,1
R104,44_n,49,32,22,42,18,23,13,20,20,1
R105,44_n,36,26,21,38,28,11,33,20,20,1
R106,44_n,30,15,19,47,30,15,27,24,20,1
R107,44_n,42,26,17,41,28,17,20,27,20,1
R108,44_n,43,25,17,28,25,7,15,15,20,1
R109,44_n,49,25,17,41,29,15,28,27,20,1
R110,44_s,45,21,17,43,22,12,13,10,25,1
R111,44_s,38,27,21,39,16,15,23,15,25,1
R112,44_s,44,23,21,54,24,12,14,21,25,1
R113,44_s,43,26,23,44,17,16,14,20,25,1
R114,44_s,41,26,23,86,21,17,10,19,25,1
R115,44_s,43,26,19,42,18,19,13,42,25,1
R116,44_s,14,29,23,51,17,12,13,23,25,1
R117,44_s,43,23,11,38,32,10,15,17,25,1
R118,44_s,37,29,19,44,21,12,23,20,25,1
R119,44_s,39,26,19,42,23,19,10,22,25,1
R120,44_s,45,21,17,42,22,12,18,10,25,1
R121,44_s,45,25,21,52,21,11,24,30,25,1
R122,44_s,44,25,23,44,27,19,14,35,25,1
