,Enclosure,Nr 52.2 Locus,Nr 52.2,Nr 52.4 Locus,Nr 52.4,Nr 52.7 Locus,Nr 52.7,Nr 52.11 Locus,Nr 52.11,Nr 60.2 Locus,Nr 60.2,Nr 60.5 Locus,Nr 60.5,Nr 60.11 Locus,Nr 60.11,Nr 60.34 Locus,Nr 60.34
83,44_n,282,316,244,252,262,266,378,398,339,353,218,224,425,433,252,254
84,44_n,312,318,240,244,262,262,392,408,333,351,218,224,431,439,234,234
85,44_n,298,306,248,258,254,266,386,392,339,361,208,212,425,431,246,248
86,44_n,306,308,248,250,266,266,368,368,333,353,220,230,423,431,312,312
87,44_n,268,308,244,258,258,266,390,392,339,351,214,228,419,435,234,234
88,44_n,292,302,244,262,262,286,374,392,333,345,226,236,423,443,244,254
89,44_n,296,314,250,260,242,286,386,390,313,331,220,224,433,433,210,210
90,44_n,316,324,240,248,250,278,402,404,337,345,226,228,425,429,246,252
91,44_n,292,316,244,248,278,286,374,374,333,345,226,226,423,429,226,244
92,44_n,268,268,256,262,254,278,368,392,329,367,208,224,431,445,254,254
93,44_n,302,324,244,248,250,286,386,398,333,337,226,234,425,443,244,244
94,44_n,292,302,244,262,262,286,374,392,333,345,226,236,423,441,244,244
95,44_n,302,308,260,260,262,262,392,414,357,361,228,234,427,453,222,222
96,44_n,300,302,244,262,262,266,370,370,333,339,214,230,429,453,306,334
97,44_n,306,312,242,256,262,262,374,392,333,353,208,210,425,425,222,230
98,44_n,302,310,242,262,242,262,418,424,333,339,234,234,423,433,236,254
99,44_n,308,320,250,258,262,266,378,378,345,357,218,228,425,433,220,254
100,44_n,290,308,246,266,246,262,416,416,345,361,224,228,419,431,338,340
101,44_n,302,312,260,262,258,262,474,474,333,351,236,236,423,423,230,254
102,44_n,310,318,240,250,258,274,398,398,333,333,236,238,419,419,224,250
103,44_n,318,326,250,272,250,272,370,394,321,337,234,246,429,429,240,240
104,44_n,268,300,248,260,266,270,374,386,351,357,214,222,431,469,234,240
105,44_n,288,288,234,238,254,266,394,404,353,361,218,230,433,457,246,248
106,44_n,302,312,244,260,262,262,390,392,333,357,226,234,427,443,222,254
107,44_n,296,314,252,258,258,262,366,366,333,351,208,214,427,433,230,230
108,44_n,324,326,252,258,254,262,378,392,353,359,224,230,425,459,248,254
